Analysis,Row,Identifier 1,Identifier 2,Comment,Peak Nr,Rt,Area All,R 45N2O/44N2O,R 46N2O/44N2O,Inj Vol,Sample ID,Min Funct,d15N,d18O,R15,R17,R18
M-72984,37,N3 25uM,Lin,h2,2,165.1,41.281,0.0077486,0.002103,,,,,,,,
M-72984,37,N3 25uM,Lin,h2,3,463.6,41.171,0.0077488,0.0021033,,,,,,,,
M-72984,37,N3 25uM,Lin,h2,4,513.3,41.182,0.0077483,0.0021031,,,,,,,,
M-72984,37,N3 25uM,Lin,h2,5,563,41.208,0.0077481,0.0021032,,,,,,,,
M-72984,37,N3 25uM,Lin,h2,6,612.8,41.141,0.0077475,0.0021028,,,,,,,,
M-72984,37,N3 25uM,Lin,h2,7,1090.8,91.121,0.007781,0.0021539,1,,1.05E-09,4.811722,65.90419,0.003694,0.000393,0.002137
M-72985,38,N3 10uM,Lin,p3,1,125.2,41.153,0.0077492,0.0021034,,,,,,,,
M-72985,38,N3 10uM,Lin,p3,2,165.1,41.253,0.0077481,0.0021031,,,,,,,,
M-72985,38,N3 10uM,Lin,p3,3,463.6,41.2,0.0077488,0.0021033,,,,,,,,
M-72985,38,N3 10uM,Lin,p3,4,513.3,41.188,0.0077479,0.0021027,,,,,,,,
M-72985,38,N3 10uM,Lin,p3,5,563,41.238,0.0077479,0.002103,,,,,,,,
M-72985,38,N3 10uM,Lin,p3,6,613,41.457,0.0077475,0.0021028,,,,,,,,
M-72985,38,N3 10uM,Lin,p3,7,1091.6,34.892,0.0077805,0.0021548,1,,2.40E-08,4.732395,66.34247,0.003694,0.000393,0.002138
M-72986,39,N3 7uM,Lin,l7,1,125.2,41.067,0.007748,0.0021029,,,,,,,,
M-72986,39,N3 7uM,Lin,l7,2,164.5,41.194,0.0077472,0.0021028,,,,,,,,
M-72986,39,N3 7uM,Lin,l7,3,463.6,41.088,0.0077479,0.0021027,,,,,,,,
M-72986,39,N3 7uM,Lin,l7,4,513.3,41.08,0.0077473,0.0021028,,,,,,,,
M-72986,39,N3 7uM,Lin,l7,5,562.8,41.454,0.0077475,0.0021026,,,,,,,,
M-72986,39,N3 7uM,Lin,l7,6,600,41.138,0.0077475,0.0021028,,,,,,,,
M-72986,39,N3 7uM,Lin,l7,7,1091.2,24.172,0.0077819,0.0021539,1,,5.06E-10,4.934162,65.90263,0.003695,0.000393,0.002137
M-72987,40,N3 6uM,Lin,h9,1,118.3,41.071,0.0077493,0.0021033,,,,,,,,
M-72987,40,N3 6uM,Lin,h9,2,165.1,41.226,0.0077487,0.0021031,,,,,,,,
M-72987,40,N3 6uM,Lin,h9,3,463.8,41.083,0.0077491,0.0021032,,,,,,,,
M-72987,40,N3 6uM,Lin,h9,4,512,41.42,0.0077481,0.0021031,,,,,,,,
M-72987,40,N3 6uM,Lin,h9,5,563,41.246,0.0077476,0.002103,,,,,,,,
M-72987,40,N3 6uM,Lin,h9,6,613,41.233,0.0077475,0.0021028,,,,,,,,
M-72987,40,N3 6uM,Lin,h9,7,1092,20.728,0.0077804,0.002154,1,,1.50E-08,4.728982,65.94833,0.003694,0.000393,0.002137
M-72988,41,N3 5uM,Lin,b10,1,125.2,41.079,0.0077485,0.0021034,,,,,,,,
M-72988,41,N3 5uM,Lin,b10,2,165.1,41.514,0.0077486,0.0021033,,,,,,,,
M-72988,41,N3 5uM,Lin,b10,3,463.8,41.533,0.0077489,0.0021033,,,,,,,,
M-72988,41,N3 5uM,Lin,b10,4,513.3,41.248,0.0077479,0.0021032,,,,,,,,
M-72988,41,N3 5uM,Lin,b10,5,563,41.34,0.0077478,0.0021029,,,,,,,,
M-72988,41,N3 5uM,Lin,b10,6,612.8,41.188,0.0077475,0.0021028,,,,,,,,
M-72988,41,N3 5uM,Lin,b10,7,1091.6,18.058,0.0077836,0.0021531,1,,6.18E-08,5.17655,65.46976,0.003696,0.000393,0.002136
M-72989,42,N3 4uM,Lin,n7,1,124.8,41.225,0.007747,0.0021029,,,,,,,,
M-72989,42,N3 4uM,Lin,n7,2,165.1,41.305,0.0077468,0.0021029,,,,,,,,
M-72989,42,N3 4uM,Lin,n7,3,463.8,41.313,0.0077478,0.0021031,,,,,,,,
M-72989,42,N3 4uM,Lin,n7,4,513.3,41.159,0.0077469,0.0021028,,,,,,,,
M-72989,42,N3 4uM,Lin,n7,5,561.8,41.377,0.0077476,0.0021031,,,,,,,,
M-72989,42,N3 4uM,Lin,n7,6,612.8,41.32,0.0077475,0.0021028,,,,,,,,
M-72989,42,N3 4uM,Lin,n7,7,1091.2,14.242,0.0077807,0.0021531,1,,6.71E-08,4.782069,65.47303,0.003694,0.000393,0.002136
M-72990,43,N3 2uM,Lin,i10,1,125.2,41.187,0.0077479,0.0021034,,,,,,,,
M-72990,43,N3 2uM,Lin,i10,2,165.1,41.46,0.0077479,0.0021031,,,,,,,,
M-72990,43,N3 2uM,Lin,i10,3,463.8,41.404,0.007749,0.0021033,,,,,,,,
M-72990,43,N3 2uM,Lin,i10,4,513.5,41.351,0.0077477,0.0021032,,,,,,,,
M-72990,43,N3 2uM,Lin,i10,5,563,41.435,0.0077478,0.0021032,,,,,,,,
M-72990,43,N3 2uM,Lin,i10,6,612.8,41.278,0.0077475,0.0021028,,,,,,,,
M-72990,43,N3 2uM,Lin,i10,7,1091.4,7.451,0.0077873,0.0021539,1,,1.08E-09,5.668848,65.89134,0.003697,0.000393,0.002137
M-72991,44,Acros 1ml,HS-Drift,b2,1,121.8,41.02,0.0077495,0.0021034,,,,,,,,
M-72991,44,Acros 1ml,HS-Drift,b2,2,165.1,41.255,0.0077486,0.0021032,,,,,,,,
M-72991,44,Acros 1ml,HS-Drift,b2,3,463.8,41.037,0.0077489,0.0021033,,,,,,,,
M-72991,44,Acros 1ml,HS-Drift,b2,4,513.3,41.021,0.0077483,0.0021031,,,,,,,,
M-72991,44,Acros 1ml,HS-Drift,b2,5,563,41.124,0.0077479,0.002103,,,,,,,,
M-72991,44,Acros 1ml,HS-Drift,b2,6,613,41.213,0.0077475,0.0021028,,,,,,,,
M-72991,44,Acros 1ml,HS-Drift,b2,7,1090.6,163.541,0.0078559,0.0021566,1,,2.15E-09,14.96723,67.09641,0.003732,0.000393,0.00214
M-72992,45,19,R-Example1,q4,1,125.4,40.994,0.0077486,0.0021034,,,,,,,,
M-72992,45,19,R-Example1,q4,2,165.1,41.098,0.007748,0.0021031,,,,,,,,
M-72992,45,19,R-Example1,q4,3,463.8,40.966,0.0077491,0.0021035,,,,,,,,
M-72992,45,19,R-Example1,q4,4,513.3,40.908,0.0077487,0.0021033,,,,,,,,
M-72992,45,19,R-Example1,q4,5,562.4,41.257,0.0077482,0.0021031,,,,,,,,
M-72992,45,19,R-Example1,q4,6,612.2,40.891,0.0077475,0.0021028,,,,,,,,
M-72992,45,19,R-Example1,q4,7,1091.6,123.107,0.0077822,0.0021017,0.06,1019102,1.15E-10,5.651686,39.8781,0.003697,0.000388,0.002085
M-72993,46,19 rep,R-Example1,n8,1,125.2,41.008,0.0077488,0.0021028,,,,,,,,
M-72993,46,19 rep,R-Example1,n8,2,165.1,41.248,0.007749,0.0021028,,,,,,,,
M-72993,46,19 rep,R-Example1,n8,3,463.6,40.969,0.0077492,0.0021032,,,,,,,,
M-72993,46,19 rep,R-Example1,n8,4,511.8,41.231,0.0077488,0.002103,,,,,,,,
M-72993,46,19 rep,R-Example1,n8,5,563,41.016,0.0077479,0.0021028,,,,,,,,
M-72993,46,19 rep,R-Example1,n8,6,612.8,40.978,0.0077475,0.0021028,,,,,,,,
M-72993,46,19 rep,R-Example1,n8,7,1091,121.839,0.0077828,0.0021018,0.06,1019102,4.02E-13,5.732011,39.92679,0.003698,0.000388,0.002085
M-72994,47,1,R-Example2,e5,1,123.5,41.069,0.0077482,0.0021031,,,,,,,,
M-72994,47,1,R-Example2,e5,2,164.5,41.393,0.0077482,0.0021032,,,,,,,,
M-72994,47,1,R-Example2,e5,3,463.8,41.328,0.0077482,0.002103,,,,,,,,
M-72994,47,1,R-Example2,e5,4,513.3,41.147,0.0077481,0.0021028,,,,,,,,
M-72994,47,1,R-Example2,e5,5,563,41.218,0.0077477,0.0021027,,,,,,,,
M-72994,47,1,R-Example2,e5,6,612.8,41.125,0.0077475,0.0021028,,,,,,,,
M-72994,47,1,R-Example2,e5,7,1089.9,370.417,0.0078244,0.0021141,1,SIU-15,2.00E-11,11.2316,45.97394,0.003718,0.000389,0.002097
M-72995,48,2,R-Example2,g1,1,125.4,41.324,0.0077487,0.0021031,,,,,,,,
M-72995,48,2,R-Example2,g1,2,155.3,41.573,0.0077485,0.0021029,,,,,,,,
M-72995,48,2,R-Example2,g1,3,461.9,41.394,0.0077486,0.002103,,,,,,,,
M-72995,48,2,R-Example2,g1,4,513.3,41.316,0.007748,0.0021028,,,,,,,,
M-72995,48,2,R-Example2,g1,5,563,41.457,0.0077477,0.0021028,,,,,,,,
M-72995,48,2,R-Example2,g1,6,612.8,41.372,0.0077475,0.0021028,,,,,,,,
M-72995,48,2,R-Example2,g1,7,1091,15.703,0.0079486,0.0021762,1.3,SIU-16,9.37E-09,27.32747,76.67259,0.003777,0.000395,0.002159
M-72996,49,3,R-Example2,o3,1,125.2,41.325,0.0077488,0.0021032,,,,,,,,
M-72996,49,3,R-Example2,o3,2,165.1,41.571,0.0077488,0.0021032,,,,,,,,
M-72996,49,3,R-Example2,o3,3,463.6,41.332,0.0077489,0.002103,,,,,,,,
M-72996,49,3,R-Example2,o3,4,512.7,41.384,0.0077483,0.0021028,,,,,,,,
M-72996,49,3,R-Example2,o3,5,556.6,41.432,0.0077476,0.0021029,,,,,,,,
M-72996,49,3,R-Example2,o3,6,612.6,41.323,0.0077475,0.0021028,,,,,,,,
M-72996,49,3,R-Example2,o3,7,1090.8,17.895,0.0077669,0.0021368,1.2,SIU-17,5.91E-08,3.114936,57.37881,0.003688,0.000391,0.00212
M-72997,50,Fisher,Check,e4,1,125.2,41.183,0.007748,0.0021031,,,,,,,,
M-72997,50,Fisher,Check,e4,2,165.1,41.358,0.0077474,0.002103,,,,,,,,
M-72997,50,Fisher,Check,e4,3,463.6,41.149,0.0077479,0.0021028,,,,,,,,
M-72997,50,Fisher,Check,e4,4,513.3,41.161,0.0077481,0.0021029,,,,,,,,
M-72997,50,Fisher,Check,e4,5,563,41.181,0.0077478,0.0021029,,,,,,,,
M-72997,50,Fisher,Check,e4,6,613,41.301,0.0077475,0.0021028,,,,,,,,
M-72997,50,Fisher,Check,e4,7,1092.2,145.175,0.0077177,0.0021491,1,,6.81E-08,-3.73758,63.60619,0.003663,0.000392,0.002133
M-72998,51,blank,blank,n4,1,125.4,40.996,0.0077481,0.0021029,,,,,,,,
M-72998,51,blank,blank,n4,2,165.1,41.311,0.0077481,0.0021031,,,,,,,,
M-72998,51,blank,blank,n4,3,463.8,40.939,0.0077485,0.0021032,,,,,,,,
M-72998,51,blank,blank,n4,4,508.1,40.957,0.0077481,0.0021031,,,,,,,,
M-72998,51,blank,blank,n4,5,563,41.144,0.0077482,0.0021032,,,,,,,,
M-72998,51,blank,blank,n4,6,613,40.826,0.0077475,0.0021028,,,,,,,,
M-72999,52,4,R-Example2,q6,1,125.2,40.697,0.007748,0.002103,,,,,,,,
M-72999,52,4,R-Example2,q6,2,165.1,40.856,0.0077472,0.0021026,,,,,,,,
M-72999,52,4,R-Example2,q6,3,463.8,40.798,0.0077484,0.0021031,,,,,,,,
M-72999,52,4,R-Example2,q6,4,510.4,41.011,0.0077478,0.0021029,,,,,,,,
M-72999,52,4,R-Example2,q6,5,557.6,40.922,0.0077475,0.002103,,,,,,,,
M-72999,52,4,R-Example2,q6,6,612.8,40.835,0.0077475,0.0021028,,,,,,,,
M-72999,52,4,R-Example2,q6,7,1090.6,154.501,0.0078134,0.002108,1.2,SIU-18,5.57E-08,9.815135,42.92758,0.003713,0.000388,0.002091
M-73000,53,5,R-Example2,o4,1,125.2,40.738,0.0077492,0.0021033,,,,,,,,
M-73000,53,5,R-Example2,o4,2,165.1,40.956,0.0077489,0.0021031,,,,,,,,
M-73000,53,5,R-Example2,o4,3,463.8,40.911,0.0077492,0.0021032,,,,,,,,
M-73000,53,5,R-Example2,o4,4,513.3,40.891,0.0077489,0.0021031,,,,,,,,
M-73000,53,5,R-Example2,o4,5,563,40.895,0.0077482,0.002103,,,,,,,,
M-73000,53,5,R-Example2,o4,6,612.8,40.856,0.0077475,0.0021028,,,,,,,,
M-73000,53,5,R-Example2,o4,7,1090.4,2.002,0.0078128,0.0021307,1.4,SIU-19,1.53E-07,9.4399,54.19746,0.003711,0.00039,0.002114
M-73001,54,6,R-Example2,q3,1,125.2,40.386,0.0077478,0.0021032,,,,,,,,
M-73001,54,6,R-Example2,q3,2,165.1,40.884,0.0077479,0.0021031,,,,,,,,
M-73001,54,6,R-Example2,q3,3,463.8,40.693,0.0077482,0.002103,,,,,,,,
M-73001,54,6,R-Example2,q3,4,513.3,40.74,0.0077477,0.0021029,,,,,,,,
M-73001,54,6,R-Example2,q3,5,562.4,40.802,0.0077475,0.0021029,,,,,,,,
M-73001,54,6,R-Example2,q3,6,613,40.695,0.0077475,0.0021028,,,,,,,,
M-73001,54,6,R-Example2,q3,7,1091.6,28.216,0.0077363,0.0021159,1,SIU-20,1.13E-08,-0.77784,47.04509,0.003674,0.000389,0.0021
M-73002,55,7,R-Example2,q9,1,125.2,40.603,0.0077483,0.0021031,,,,,,,,
M-73002,55,7,R-Example2,q9,2,165.1,40.755,0.0077475,0.0021027,,,,,,,,
M-73002,55,7,R-Example2,q9,3,463.8,40.709,0.0077487,0.0021031,,,,,,,,
M-73002,55,7,R-Example2,q9,4,513.3,40.622,0.0077479,0.0021029,,,,,,,,
M-73002,55,7,R-Example2,q9,5,563,40.717,0.0077477,0.0021029,,,,,,,,
M-73002,55,7,R-Example2,q9,6,612.8,40.634,0.0077475,0.0021028,,,,,,,,
M-73002,55,7,R-Example2,q9,7,1088.7,477.82,0.0085038,0.0023028,1.4,SIU-21,2.23E-12,101.2627,138.5986,0.004049,0.000406,0.002283
M-73003,56,8,R-Example2,p4,1,125.4,40.717,0.0077486,0.0021031,,,,,,,,
M-73003,56,8,R-Example2,p4,2,165.1,40.873,0.0077482,0.002103,,,,,,,,
M-73003,56,8,R-Example2,p4,3,463.8,40.803,0.0077486,0.0021032,,,,,,,,
M-73003,56,8,R-Example2,p4,4,513.5,40.823,0.0077485,0.002103,,,,,,,,
M-73003,56,8,R-Example2,p4,5,563.3,40.883,0.0077479,0.0021031,,,,,,,,
M-73003,56,8,R-Example2,p4,6,613,40.913,0.0077475,0.0021028,,,,,,,,
M-73003,56,8,R-Example2,p4,7,1090.4,9.129,0.0076779,0.0021151,1,SIU-22,9.24E-09,-8.71288,46.76515,0.003644,0.000389,0.002099
M-73004,57,Acros 0-02ml,HS,c5,1,119.1,40.542,0.0077485,0.0021029,,,,,,,,
M-73004,57,Acros 0-02ml,HS,c5,2,165.1,40.691,0.0077479,0.002103,,,,,,,,
M-73004,57,Acros 0-02ml,HS,c5,3,462.3,40.466,0.007749,0.0021033,,,,,,,,
M-73004,57,Acros 0-02ml,HS,c5,4,513.3,40.475,0.0077488,0.0021031,,,,,,,,
M-73004,57,Acros 0-02ml,HS,c5,5,563,40.543,0.0077487,0.0021031,,,,,,,,
M-73004,57,Acros 0-02ml,HS,c5,6,612.8,40.318,0.0077475,0.0021028,,,,,,,,
M-73004,57,Acros 0-02ml,HS,c5,7,1093.1,156.004,0.0078557,0.0021569,0.02,,5.25E-09,14.9362,67.24484,0.003731,0.000393,0.00214
M-73005,58,Acros 0-1ml,HS,j5,1,125.4,40.36,0.0077481,0.0021029,,,,,,,,
M-73005,58,Acros 0-1ml,HS,j5,2,164.7,40.44,0.0077473,0.0021029,,,,,,,,
M-73005,58,Acros 0-1ml,HS,j5,3,463.6,40.348,0.0077476,0.0021032,,,,,,,,
M-73005,58,Acros 0-1ml,HS,j5,4,513.3,40.326,0.0077479,0.002103,,,,,,,,
M-73005,58,Acros 0-1ml,HS,j5,5,563,40.386,0.0077475,0.0021029,,,,,,,,
M-73005,58,Acros 0-1ml,HS,j5,6,613,40.262,0.0077475,0.0021028,,,,,,,,
M-73005,58,Acros 0-1ml,HS,j5,7,1091.6,197.075,0.0078569,0.0021563,0.1,,7.75E-09,15.10722,66.942,0.003732,0.000393,0.002139
M-73006,59,Acros 0-5ml,HS,o10,1,125.4,40.26,0.0077488,0.0021029,,,,,,,,
M-73006,59,Acros 0-5ml,HS,o10,2,161.6,40.481,0.0077486,0.0021027,,,,,,,,
M-73006,59,Acros 0-5ml,HS,o10,3,463.8,40.343,0.0077489,0.0021032,,,,,,,,
M-73006,59,Acros 0-5ml,HS,o10,4,513.3,40.351,0.0077485,0.0021031,,,,,,,,
M-73006,59,Acros 0-5ml,HS,o10,5,563,40.296,0.0077479,0.0021027,,,,,,,,
M-73006,59,Acros 0-5ml,HS,o10,6,612.8,40.267,0.0077475,0.0021028,,,,,,,,
M-73006,59,Acros 0-5ml,HS,o10,7,1091,146.144,0.0078552,0.0021554,0.5,,1.89E-08,14.88767,66.49122,0.003731,0.000393,0.002139
M-73007,60,Acros 2ml,HS,g6,1,122.9,39.884,0.0077485,0.002103,,,,,,,,
M-73007,60,Acros 2ml,HS,g6,2,164.3,40.355,0.0077485,0.0021031,,,,,,,,
M-73007,60,Acros 2ml,HS,g6,3,463.6,40.124,0.0077485,0.0021032,,,,,,,,
M-73007,60,Acros 2ml,HS,g6,4,499.7,40.124,0.0077483,0.0021031,,,,,,,,
M-73007,60,Acros 2ml,HS,g6,5,563,40.209,0.0077481,0.0021029,,,,,,,,
M-73007,60,Acros 2ml,HS,g6,6,612.8,40.089,0.0077475,0.0021028,,,,,,,,
M-73007,60,Acros 2ml,HS,g6,7,1091.6,176.678,0.0078552,0.0021567,2,,3.71E-09,14.87073,67.14693,0.003731,0.000393,0.00214
M-73008,61,9,R-Example2,m2,1,120.6,39.959,0.0077485,0.0021033,,,,,,,,
M-73008,61,9,R-Example2,m2,2,165.1,40.065,0.0077479,0.0021031,,,,,,,,
M-73008,61,9,R-Example2,m2,3,463.6,39.926,0.0077488,0.0021033,,,,,,,,
M-73008,61,9,R-Example2,m2,4,513.3,39.914,0.007748,0.0021032,,,,,,,,
M-73008,61,9,R-Example2,m2,5,563,39.976,0.0077477,0.0021032,,,,,,,,
M-73008,61,9,R-Example2,m2,6,612.8,39.77,0.0077475,0.0021028,,,,,,,,
M-73008,61,9,R-Example2,m2,7,1090.4,452.211,0.0082477,0.0022312,2,SIU-23,9.49E-09,67.31981,103.459,0.003924,0.0004,0.002213
M-73009,62,10,R-Example2,k3,1,125.4,39.971,0.0077473,0.0021026,,,,,,,,
M-73009,62,10,R-Example2,k3,2,165.1,40.071,0.0077467,0.0021024,,,,,,,,
M-73009,62,10,R-Example2,k3,3,461.9,39.974,0.007748,0.002103,,,,,,,,
M-73009,62,10,R-Example2,k3,4,513.3,39.93,0.0077481,0.0021029,,,,,,,,
M-73009,62,10,R-Example2,k3,5,563,39.974,0.0077473,0.0021028,,,,,,,,
M-73009,62,10,R-Example2,k3,6,613,39.983,0.0077475,0.0021028,,,,,,,,
M-73009,62,10,R-Example2,k3,7,1089.7,338.861,0.0078218,0.0021158,1.3,SIU-24,6.69E-09,10.85585,46.82346,0.003716,0.000389,0.002099
M-73010,63,10 rep,R-Example2,f2,1,125.2,40.123,0.007748,0.0021031,,,,,,,,
M-73010,63,10 rep,R-Example2,f2,2,165.1,40.176,0.0077474,0.0021028,,,,,,,,
M-73010,63,10 rep,R-Example2,f2,3,463.8,40.158,0.0077482,0.0021033,,,,,,,,
M-73010,63,10 rep,R-Example2,f2,4,513.3,40.142,0.007748,0.002103,,,,,,,,
M-73010,63,10 rep,R-Example2,f2,5,563,40.286,0.0077478,0.002103,,,,,,,,
M-73010,63,10 rep,R-Example2,f2,6,607.8,40.107,0.0077475,0.0021028,,,,,,,,
M-73010,63,10 rep,R-Example2,f2,7,1090.8,344.977,0.0078221,0.0021162,1.3,SIU-24,2.24E-09,10.8914,47.02448,0.003717,0.000389,0.002099
M-73011,64,11,R-Example2,q1,1,125.4,40.001,0.0077483,0.0021029,,,,,,,,
M-73011,64,11,R-Example2,q1,2,164.3,40.249,0.0077482,0.0021028,,,,,,,,
M-73011,64,11,R-Example2,q1,3,463.8,40.123,0.0077482,0.002103,,,,,,,,
M-73011,64,11,R-Example2,q1,4,513.3,40.123,0.0077474,0.0021029,,,,,,,,
M-73011,64,11,R-Example2,q1,5,563,40.065,0.0077477,0.0021028,,,,,,,,
M-73011,64,11,R-Example2,q1,6,612.8,40.011,0.0077475,0.0021028,,,,,,,,
M-73011,64,11,R-Example2,q1,7,1092,70.251,0.0082045,0.002148,1,SIU-25,6.27E-09,62.50633,62.07502,0.003906,0.000392,0.00213
M-73012,65,12,R-Example2,m7,1,125.4,39.919,0.0077474,0.0021028,,,,,,,,
M-73012,65,12,R-Example2,m7,2,165.1,40.076,0.0077472,0.0021027,,,,,,,,
M-73012,65,12,R-Example2,m7,3,463.8,40.178,0.0077481,0.0021029,,,,,,,,
M-73012,65,12,R-Example2,m7,4,511,40.14,0.0077478,0.002103,,,,,,,,
M-73012,65,12,R-Example2,m7,5,561.4,40.176,0.007747,0.0021027,,,,,,,,
M-73012,65,12,R-Example2,m7,6,611.1,40.161,0.0077475,0.0021028,,,,,,,,
M-73012,65,12,R-Example2,m7,7,1089.1,578.046,0.0088239,0.0024809,1.3,SIU-26,1.45E-07,142.6326,226.5914,0.004201,0.000422,0.00246
M-73013,66,Strem,Check,d9,1,118.5,40.289,0.0077481,0.0021032,,,,,,,,
M-73013,66,Strem,Check,d9,2,165.1,40.426,0.0077473,0.0021028,,,,,,,,
M-73013,66,Strem,Check,d9,3,458.1,40.314,0.0077475,0.0021029,,,,,,,,
M-73013,66,Strem,Check,d9,4,513.3,40.36,0.0077475,0.0021029,,,,,,,,
M-73013,66,Strem,Check,d9,5,562.6,40.432,0.0077476,0.0021029,,,,,,,,
M-73013,66,Strem,Check,d9,6,613,40.305,0.0077475,0.0021028,,,,,,,,
M-73013,66,Strem,Check,d9,7,1091.6,51.2,0.0077201,0.0021506,2,,3.29E-08,-3.43086,64.36674,0.003664,0.000392,0.002134
M-73014,67,13,R-Example2,o7,1,125.2,40.134,0.0077495,0.0021033,,,,,,,,
M-73014,67,13,R-Example2,o7,2,161.6,40.265,0.0077489,0.0021031,,,,,,,,
M-73014,67,13,R-Example2,o7,3,463.8,40.167,0.0077499,0.0021033,,,,,,,,
M-73014,67,13,R-Example2,o7,4,513.3,40.141,0.0077488,0.0021032,,,,,,,,
M-73014,67,13,R-Example2,o7,5,563,40.169,0.0077483,0.002103,,,,,,,,
M-73014,67,13,R-Example2,o7,6,612.8,40.018,0.0077475,0.0021028,,,,,,,,
M-73014,67,13,R-Example2,o7,7,1089.9,255.332,0.0078487,0.0021213,1.2,SIU-27,1.97E-07,14.44667,49.41559,0.00373,0.000389,0.002104
M-73015,68,14,R-Example2,i5,1,118.1,40.122,0.0077494,0.0021032,,,,,,,,
M-73015,68,14,R-Example2,i5,2,165.1,40.144,0.0077482,0.002103,,,,,,,,
M-73015,68,14,R-Example2,i5,3,461.9,40.009,0.0077488,0.0021031,,,,,,,,
M-73015,68,14,R-Example2,i5,4,513.3,39.945,0.0077484,0.0021029,,,,,,,,
M-73015,68,14,R-Example2,i5,5,563,40.117,0.0077486,0.0021032,,,,,,,,
M-73015,68,14,R-Example2,i5,6,610.7,39.59,0.0077475,0.0021028,,,,,,,,
M-73015,68,14,R-Example2,i5,7,1092,13.628,0.007944,0.0021299,1.3,SIU-28,1.64E-08,27.29859,53.59608,0.003777,0.00039,0.002113
M-73016,69,15,R-Example2,b4,1,125.4,39.765,0.0077478,0.002103,,,,,,,,
M-73016,69,15,R-Example2,b4,2,163,39.962,0.0077473,0.0021028,,,,,,,,
M-73016,69,15,R-Example2,b4,3,463.8,39.807,0.007748,0.002103,,,,,,,,
M-73016,69,15,R-Example2,b4,4,509.1,39.825,0.0077475,0.0021031,,,,,,,,
M-73016,69,15,R-Example2,b4,5,559.1,39.654,0.0077472,0.0021029,,,,,,,,
M-73016,69,15,R-Example2,b4,6,612,39.863,0.0077475,0.0021028,,,,,,,,
M-73016,69,15,R-Example2,b4,7,1090.1,314.557,0.0078221,0.0021209,1.9,SIU-29,1.93E-07,10.83282,49.27251,0.003716,0.000389,0.002104
M-73017,70,16,R-Example2,d1,1,124.8,39.912,0.0077488,0.0021031,,,,,,,,
M-73017,70,16,R-Example2,d1,2,165.1,40.007,0.0077483,0.0021029,,,,,,,,
M-73017,70,16,R-Example2,d1,3,463.8,39.899,0.0077489,0.0021032,,,,,,,,
M-73017,70,16,R-Example2,d1,4,513.3,39.686,0.0077486,0.0021031,,,,,,,,
M-73017,70,16,R-Example2,d1,5,563,39.916,0.0077483,0.0021029,,,,,,,,
M-73017,70,16,R-Example2,d1,6,612.8,39.804,0.0077475,0.0021028,,,,,,,,
M-73017,70,16,R-Example2,d1,7,1090.8,183.591,0.0078454,0.0021208,1.2,SIU-30,1.91E-07,14.00411,49.17603,0.003728,0.000389,0.002104
M-73018,71,17,R-Example2,p2,1,125.4,39.832,0.0077479,0.0021029,,,,,,,,
M-73018,71,17,R-Example2,p2,2,165.1,39.53,0.0077473,0.0021028,,,,,,,,
M-73018,71,17,R-Example2,p2,3,463.8,39.579,0.0077477,0.0021029,,,,,,,,
M-73018,71,17,R-Example2,p2,4,513.3,39.878,0.0077472,0.0021029,,,,,,,,
M-73018,71,17,R-Example2,p2,5,563,40.055,0.0077473,0.002103,,,,,,,,
M-73018,71,17,R-Example2,p2,6,612.8,39.903,0.0077475,0.0021028,,,,,,,,
M-73018,71,17,R-Example2,p2,7,1091.2,81.096,0.0077861,0.0021079,1.3,SIU-31,2.87E-08,6.10186,42.9469,0.003699,0.000388,0.002091
M-73019,72,USGS32,Cal,j3,1,125.4,39.785,0.0077486,0.002103,,,,,,,,
M-73019,72,USGS32,Cal,j3,2,165.1,40.067,0.0077481,0.0021028,,,,,,,,
M-73019,72,USGS32,Cal,j3,3,463.8,39.906,0.0077484,0.0021031,,,,,,,,
M-73019,72,USGS32,Cal,j3,4,512,39.983,0.0077485,0.0021032,,,,,,,,
M-73019,72,USGS32,Cal,j3,5,561.4,40.019,0.0077482,0.0021032,,,,,,,,
M-73019,72,USGS32,Cal,j3,6,613,39.847,0.0077475,0.0021028,,,,,,,,
M-73019,72,USGS32,Cal,j3,7,1090.6,122.604,0.0090351,0.0021601,1,,2.65E-08,175.3595,66.23126,0.004321,0.000393,0.002138
M-73020,73,USGS32,Cal,c1,1,125.4,39.859,0.007748,0.002103,,,,,,,,
M-73020,73,USGS32,Cal,c1,2,164.9,39.927,0.0077476,0.0021028,,,,,,,,
M-73020,73,USGS32,Cal,c1,3,463.8,39.804,0.007748,0.002103,,,,,,,,
M-73020,73,USGS32,Cal,c1,4,512,39.825,0.007748,0.0021029,,,,,,,,
M-73020,73,USGS32,Cal,c1,5,563,39.914,0.007748,0.002103,,,,,,,,
M-73020,73,USGS32,Cal,c1,6,613,39.817,0.0077475,0.0021028,,,,,,,,
M-73020,73,USGS32,Cal,c1,7,1090.1,124.276,0.0090375,0.00216,1,,2.75E-08,175.6873,66.1753,0.004322,0.000393,0.002138
M-73021,74,USGS35,Cal,a4,1,125.4,39.485,0.0077477,0.0021033,,,,,,,,
M-73021,74,USGS35,Cal,a4,2,165.1,39.611,0.0077474,0.0021033,,,,,,,,
M-73021,74,USGS35,Cal,a4,3,463.8,39.508,0.0077486,0.0021034,,,,,,,,
M-73021,74,USGS35,Cal,a4,4,513.3,39.464,0.0077481,0.002103,,,,,,,,
